File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF188RMG	tar	tar		differential splicing quantifications	hg19	ENCSR494VSD	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'dbxrefs': ['FactorBook:YBX3'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8531/'], '@type': ['Target', 'Item'], 'label': 'YBX3', 'title': 'YBX3 (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'cofactor'], 'uuid': 'b94f1ef2-c57a-4500-8854-128575344905', 'schema_version': '14', 'name': 'YBX3-human', '@id': '/targets/YBX3-human/', 'status': 'released'}				YBX3-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2015-08-18	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF118VJE/, /files/ENCFF121VWZ/, /files/ENCFF460AAE/, /files/ENCFF058QDT/	3443216	Brenton Graveley, UConn	edab8577584178487bba2316aef3fbfe		https://www.encodeproject.org/files/ENCFF188RMG/@@download/ENCFF188RMG.tar.gz	V19			released	s3://encode-public/2019/11/13/3b409bea-5246-4353-843c-0424ff1a74ce/ENCFF188RMG.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/3b409bea-5246-4353-843c-0424ff1a74ce/ENCFF188RMG.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF597SDA	tar	tar		differential splicing quantifications	hg19	ENCSR494VSD	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'dbxrefs': ['FactorBook:YBX3'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8531/'], '@type': ['Target', 'Item'], 'label': 'YBX3', 'title': 'YBX3 (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'cofactor'], 'uuid': 'b94f1ef2-c57a-4500-8854-128575344905', 'schema_version': '14', 'name': 'YBX3-human', '@id': '/targets/YBX3-human/', 'status': 'released'}				YBX3-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2015-08-18	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF118VJE/, /files/ENCFF121VWZ/, /files/ENCFF460AAE/, /files/ENCFF058QDT/	15600256	Brenton Graveley, UConn	dd66ebeb60d5326c75d971dea347a978		https://www.encodeproject.org/files/ENCFF597SDA/@@download/ENCFF597SDA.tar.gz	V19			released	s3://encode-public/2019/11/13/b32e7939-69f2-4983-ac89-7e3937ed68ef/ENCFF597SDA.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/b32e7939-69f2-4983-ac89-7e3937ed68ef/ENCFF597SDA.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF211GMC	tar	tar		differential splicing quantifications	hg19	ENCSR494VSD	shRNA RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				RNAi	interference	{'dbxrefs': ['FactorBook:YBX3'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/8531/'], '@type': ['Target', 'Item'], 'label': 'YBX3', 'title': 'YBX3 (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'cofactor'], 'uuid': 'b94f1ef2-c57a-4500-8854-128575344905', 'schema_version': '14', 'name': 'YBX3-human', '@id': '/targets/YBX3-human/', 'status': 'released'}				YBX3-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2015-08-18	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF118VJE/, /files/ENCFF121VWZ/, /files/ENCFF460AAE/, /files/ENCFF058QDT/	2968165	Brenton Graveley, UConn	4a0c0c2984450c03742335a9c1a8a580		https://www.encodeproject.org/files/ENCFF211GMC/@@download/ENCFF211GMC.tar.gz	V19			released	s3://encode-public/2019/11/13/9b2be9af-0b7e-4246-917a-fcc6117e8936/ENCFF211GMC.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/9b2be9af-0b7e-4246-917a-fcc6117e8936/ENCFF211GMC.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF198UYE	tar	tar		differential splicing quantifications	hg19	ENCSR543LCG	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10642/'], '@type': ['Target', 'Item'], 'name': 'IGF2BP1-human', 'label': 'IGF2BP1', '@id': '/targets/IGF2BP1-human/', 'title': 'IGF2BP1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '7ef14443-3e1d-43a2-8c92-18fda1deb182', 'status': 'released'}				IGF2BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF640YDL/, /files/ENCFF117XXW/, /files/ENCFF157TKC/, /files/ENCFF739JDP/	4471516	Brenton Graveley, UConn	73e766898066948ea8209b8c30699774		https://www.encodeproject.org/files/ENCFF198UYE/@@download/ENCFF198UYE.tar.gz	V19			released	s3://encode-public/2019/11/13/f5160b5d-61bc-44d1-8446-90111e870afb/ENCFF198UYE.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/f5160b5d-61bc-44d1-8446-90111e870afb/ENCFF198UYE.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF173HNV	tar	tar		differential splicing quantifications	hg19	ENCSR543LCG	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10642/'], '@type': ['Target', 'Item'], 'name': 'IGF2BP1-human', 'label': 'IGF2BP1', '@id': '/targets/IGF2BP1-human/', 'title': 'IGF2BP1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '7ef14443-3e1d-43a2-8c92-18fda1deb182', 'status': 'released'}				IGF2BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF640YDL/, /files/ENCFF117XXW/, /files/ENCFF157TKC/, /files/ENCFF739JDP/	5311666	Brenton Graveley, UConn	a0b18b6e7b06fab27e42a0fa040268f3		https://www.encodeproject.org/files/ENCFF173HNV/@@download/ENCFF173HNV.tar.gz	V19			released	s3://encode-public/2019/11/13/2d20ca9b-7820-4155-bb71-92cfaa0dc44d/ENCFF173HNV.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/2d20ca9b-7820-4155-bb71-92cfaa0dc44d/ENCFF173HNV.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF315ZAT	tar	tar		differential splicing quantifications	hg19	ENCSR543LCG	CRISPR RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/10642/'], '@type': ['Target', 'Item'], 'name': 'IGF2BP1-human', 'label': 'IGF2BP1', '@id': '/targets/IGF2BP1-human/', 'title': 'IGF2BP1 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '7ef14443-3e1d-43a2-8c92-18fda1deb182', 'status': 'released'}				IGF2BP1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2016-03-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF640YDL/, /files/ENCFF117XXW/, /files/ENCFF157TKC/, /files/ENCFF739JDP/	17346925	Brenton Graveley, UConn	69ba21ce09051413666afedce21e3dc0		https://www.encodeproject.org/files/ENCFF315ZAT/@@download/ENCFF315ZAT.tar.gz	V19			released	s3://encode-public/2019/11/13/be1201a0-2d8d-4799-a61a-d37b15044aa8/ENCFF315ZAT.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/be1201a0-2d8d-4799-a61a-d37b15044aa8/ENCFF315ZAT.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF666PPJ	tar	tar		differential splicing quantifications	hg19	ENCSR608IAI	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22868/'], '@type': ['Target', 'Item'], 'name': 'FASTKD2-human', 'label': 'FASTKD2', '@id': '/targets/FASTKD2-human/', 'title': 'FASTKD2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'c0db5292-3bfb-47b9-ab13-78a38cb22e8f', 'status': 'released'}				FASTKD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-11-20	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF312ZOZ/, /files/ENCFF635XVZ/, /files/ENCFF178NNK/, /files/ENCFF098BEA/	14350062	Brenton Graveley, UConn	bf6dd5c2183ce98aeb5e31c8dbaee6e9		https://www.encodeproject.org/files/ENCFF666PPJ/@@download/ENCFF666PPJ.tar.gz	V19			released	s3://encode-public/2019/11/13/351d9efb-d7ea-4a27-99cb-c0f80fd7d89a/ENCFF666PPJ.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/351d9efb-d7ea-4a27-99cb-c0f80fd7d89a/ENCFF666PPJ.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF655HYO	tar	tar		differential splicing quantifications	hg19	ENCSR608IAI	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22868/'], '@type': ['Target', 'Item'], 'name': 'FASTKD2-human', 'label': 'FASTKD2', '@id': '/targets/FASTKD2-human/', 'title': 'FASTKD2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'c0db5292-3bfb-47b9-ab13-78a38cb22e8f', 'status': 'released'}				FASTKD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-11-20	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF312ZOZ/, /files/ENCFF635XVZ/, /files/ENCFF178NNK/, /files/ENCFF098BEA/	3306085	Brenton Graveley, UConn	6300539666c9e87a178ad760d3e3dd17		https://www.encodeproject.org/files/ENCFF655HYO/@@download/ENCFF655HYO.tar.gz	V19			released	s3://encode-public/2019/11/13/d26ac9bb-6566-467d-8a40-a489dc493d7d/ENCFF655HYO.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/d26ac9bb-6566-467d-8a40-a489dc493d7d/ENCFF655HYO.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF840SGC	tar	tar		differential splicing quantifications	hg19	ENCSR608IAI	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/22868/'], '@type': ['Target', 'Item'], 'name': 'FASTKD2-human', 'label': 'FASTKD2', '@id': '/targets/FASTKD2-human/', 'title': 'FASTKD2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': 'c0db5292-3bfb-47b9-ab13-78a38cb22e8f', 'status': 'released'}				FASTKD2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-11-20	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF312ZOZ/, /files/ENCFF635XVZ/, /files/ENCFF178NNK/, /files/ENCFF098BEA/	3709502	Brenton Graveley, UConn	b740e0d2267b48afa0e10f34164e04b0		https://www.encodeproject.org/files/ENCFF840SGC/@@download/ENCFF840SGC.tar.gz	V19			released	s3://encode-public/2019/11/13/a515fd67-8186-4be1-bbd1-dca28f263277/ENCFF840SGC.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/a515fd67-8186-4be1-bbd1-dca28f263277/ENCFF840SGC.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF598TVU	tar	tar		differential splicing quantifications	hg19	ENCSR885YOI	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1478/'], '@type': ['Target', 'Item'], 'name': 'CSTF2-human', 'label': 'CSTF2', '@id': '/targets/CSTF2-human/', 'title': 'CSTF2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '442e9e8e-b335-45e1-8215-c09ff775e890', 'status': 'released'}				CSTF2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF932CGR/, /files/ENCFF789INJ/, /files/ENCFF584WAF/, /files/ENCFF674JPQ/	14585960	Brenton Graveley, UConn	44d33107717ab2a518b112ffe7ee91c5		https://www.encodeproject.org/files/ENCFF598TVU/@@download/ENCFF598TVU.tar.gz	V19			released	s3://encode-public/2019/11/13/689e666c-0fe5-42ed-89d8-d05b3de5b3d9/ENCFF598TVU.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/689e666c-0fe5-42ed-89d8-d05b3de5b3d9/ENCFF598TVU.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF562OFU	tar	tar		differential splicing quantifications	hg19	ENCSR885YOI	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1478/'], '@type': ['Target', 'Item'], 'name': 'CSTF2-human', 'label': 'CSTF2', '@id': '/targets/CSTF2-human/', 'title': 'CSTF2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '442e9e8e-b335-45e1-8215-c09ff775e890', 'status': 'released'}				CSTF2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF932CGR/, /files/ENCFF789INJ/, /files/ENCFF584WAF/, /files/ENCFF674JPQ/	3810820	Brenton Graveley, UConn	3ea9d95e2abf55fb2adaa86d9a88cd64		https://www.encodeproject.org/files/ENCFF562OFU/@@download/ENCFF562OFU.tar.gz	V19			released	s3://encode-public/2019/11/13/2d6349f0-5ed5-4e24-9b86-7791ba284e93/ENCFF562OFU.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/2d6349f0-5ed5-4e24-9b86-7791ba284e93/ENCFF562OFU.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF776CJW	tar	tar		differential splicing quantifications	hg19	ENCSR885YOI	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/1478/'], '@type': ['Target', 'Item'], 'name': 'CSTF2-human', 'label': 'CSTF2', '@id': '/targets/CSTF2-human/', 'title': 'CSTF2 (Homo sapiens)', 'investigated_as': ['RNA binding protein'], 'uuid': '442e9e8e-b335-45e1-8215-c09ff775e890', 'status': 'released'}				CSTF2-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF932CGR/, /files/ENCFF789INJ/, /files/ENCFF584WAF/, /files/ENCFF674JPQ/	3326855	Brenton Graveley, UConn	f577ffc129b7bf56a24e86882b5638a6		https://www.encodeproject.org/files/ENCFF776CJW/@@download/ENCFF776CJW.tar.gz	V19			released	s3://encode-public/2019/11/13/905805bd-edcc-4b9e-b72d-d9a996222148/ENCFF776CJW.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/905805bd-edcc-4b9e-b72d-d9a996222148/ENCFF776CJW.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF676LGW	tar	tar		differential splicing quantifications	hg19	ENCSR778SIU	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6832/'], '@type': ['Target', 'Item'], 'name': 'SUPV3L1-human', 'label': 'SUPV3L1', '@id': '/targets/SUPV3L1-human/', 'title': 'SUPV3L1 (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'chromatin remodeler'], 'uuid': 'f3d7fb4a-90ae-41ba-b553-cc7021b7a2d0', 'status': 'released'}				SUPV3L1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF343HFZ/, /files/ENCFF206NNS/, /files/ENCFF742XEQ/, /files/ENCFF362TIW/	15000599	Brenton Graveley, UConn	6bd9fe2548e767d50254ef0bd7c7a300		https://www.encodeproject.org/files/ENCFF676LGW/@@download/ENCFF676LGW.tar.gz	V19			released	s3://encode-public/2019/11/13/f6af4aa4-9a7c-4941-9bdd-10c3c99ff254/ENCFF676LGW.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/f6af4aa4-9a7c-4941-9bdd-10c3c99ff254/ENCFF676LGW.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF861JWK	tar	tar		differential splicing quantifications	hg19	ENCSR778SIU	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6832/'], '@type': ['Target', 'Item'], 'name': 'SUPV3L1-human', 'label': 'SUPV3L1', '@id': '/targets/SUPV3L1-human/', 'title': 'SUPV3L1 (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'chromatin remodeler'], 'uuid': 'f3d7fb4a-90ae-41ba-b553-cc7021b7a2d0', 'status': 'released'}				SUPV3L1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF343HFZ/, /files/ENCFF206NNS/, /files/ENCFF742XEQ/, /files/ENCFF362TIW/	4114426	Brenton Graveley, UConn	a82292d9036f98d3d293248af3d5e35f		https://www.encodeproject.org/files/ENCFF861JWK/@@download/ENCFF861JWK.tar.gz	V19			released	s3://encode-public/2019/11/13/b467442e-a03b-417f-9707-56ef5601e727/ENCFF861JWK.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/b467442e-a03b-417f-9707-56ef5601e727/ENCFF861JWK.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
ENCFF611REF	tar	tar		differential splicing quantifications	hg19	ENCSR778SIU	shRNA RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens				RNAi	interference	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6832/'], '@type': ['Target', 'Item'], 'name': 'SUPV3L1-human', 'label': 'SUPV3L1', '@id': '/targets/SUPV3L1-human/', 'title': 'SUPV3L1 (Homo sapiens)', 'investigated_as': ['RNA binding protein', 'chromatin remodeler'], 'uuid': 'f3d7fb4a-90ae-41ba-b553-cc7021b7a2d0', 'status': 'released'}				SUPV3L1-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)			reverse	2014-12-17	ENCODE		chemical (Illumina TruSeq)	>200	1, 2	1_1, 2_1							/files/ENCFF343HFZ/, /files/ENCFF206NNS/, /files/ENCFF742XEQ/, /files/ENCFF362TIW/	4854747	Brenton Graveley, UConn	4181c44152b774470d8f8c4b2d89e600		https://www.encodeproject.org/files/ENCFF611REF/@@download/ENCFF611REF.tar.gz	V19			released	s3://encode-public/2019/11/13/3b179394-e644-4153-bc76-ad7985b24de6/ENCFF611REF.tar.gz	https://datasetencode.blob.core.windows.net/dataset/2019/11/13/3b179394-e644-4153-bc76-ad7985b24de6/ENCFF611REF.tar.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom hg19 V19	released	missing biosample characterization		
