AATFBF	AGGF1BF	AGOBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3HBF	EIF4G2BF	EWSR1BF	FAM120ABF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	HLTFBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SERBP1BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TIA1BF	TIAL1BF	TRA2ABF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
DDX24	0	0	0	0	0	0	0	0	0	0	11.6136535478395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161323837452505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX3X	0	0	0	0.0748207961025853	0	0	0	0	0	0	0	3.37537157267733	0.116162340847473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57826395188896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0802345199576267	0	0.0347517017800452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	0	0	0	0.0748207961025853	0	0	0	0	0	0	0	0.00701787142240486	3.37537157267733	0.171070213448577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343433390365388	0	0	0	0	0	0.57826395188896	0	0	0	0	0	0	0	0	0	0	0	0	0.0548488537468645	0.081950449709996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.645718627877326	0	0.0347517017800452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0.279982398070931	1.48561389358905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343433390365388	0	0	0	0	0	0.144360507148287	0	0	0	0	0	0	0	0	0	0	0	0	0.0548488537468645	0.081950449709996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212938200746075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	0	0	0	0	0	0.0598612814037398	0	0	0	0	0	0	0	0	0.2160883817161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142835505609147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGCR8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461538661368362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	0	0	1.27090391538273	0	-0.0934552891608952	0	-0.979120793137776	0	0	0	0	0	0	0	0	0	23.0885795681118	0	0	-1.28328758018508	0	0	0	0	0	0	0	0	0	0	0	0	-1.13465698456888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.461077647775969	0	-0.245349921042131	0	0	0	0	-0.0389121658620216	0	0	0	0	-0.15958317307096	-1.60111184373608	0	0	0	0	0	0	0	0	-0.0347517017800452	0	0	0	-0.539377466076898	-0.983870692258989	0	0	0	0	0	0	0	0	-0.766362879877232	0
DKC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0375843854665872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156571968596483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DROSHA	0	0	0	0	0	0	0	0	0	0.279653410137405	0	0	0	0	0	0	0	0	0.0924113145985325	0	0	0	0.283916611158437	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966576310065571	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23186339793251	0.0172825680800653	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFTUD2	0	0	0	0	0	0	0	0	0	-0.0209226195933434	0	0	0	0	0	0	0	0	0	6.10085628336016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0570024289696716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0546062187125298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13456548162327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	0	0	0	0	0	0	0	0	0	0.279653410137405	0	0	0	0	0	0	0	0	0	0	0	0.465564953673945	0.283916611158437	0.463955137691304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23186339793251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1	0	0	0	0	0	0	0	0	0	1.26047083515277	0	0	0	0	0	0	0	0	0.0924113145985325	0	0	0.465564953673945	1.03459854321794	0.414143164278258	0	0	0	0	0	0	0	0	0	0	0	0	0.0966576310065571	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14583645549384	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM120A	0	0	0	0	0	0	0	0	0	1.26047083515277	0	0	0	0	0	0	0	0	0	0	0	0.465564953673945	0.193381347165301	1.72182149708322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205485093756296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92608977630212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55727370708694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304878594344456	0	0	0	0	0	0	0
FUS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637226155127782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXR2	0	0.164129466152234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.287596930280118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G3BP1	0	0	0	0	0	0.0598612814037398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.2300079304739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.461454814283854	0	0	0	0	0	0	0	0	0	0
GEMIN5	0	0	0	0	0	0	0	0	0	0	0	0.00701787142240486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05048186741204	0	0	0	0	0	0	0	0	0	0	0.0933888865336687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPKOW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42980810006994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393093055635453	0	0	0	0	0	0	0	0	0.482697408103157	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00670733226649136	0.268703377685084	0	0	0	0	0	0	0	0	0.238535258469847	0	0.00681615234286427	0	0	0
GRSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304878594344456	0	0	0	0	0	0	0
GRWD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.117304491305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540649389815835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1137534052124	0	0	0	0	0	0	0	0	0	0
HLTF	0	0	0	0	0	0.244704519643997	0	0	0	0	0	0	0	0	0.2160883817161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.54382221469588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100495126943501	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPK	0	0	0	0	0	0	0	0	0	0	0	0	0.279982398070931	0.171070213448577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343433390365388	0	0	0	0	0	0.188450587382902	0	0	0	0	0	0	0	0	0	0	0	0	0.0548488537468645	0.081950449709996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229113093951687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.366241459652879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0304878594344456	0.0684211816870723	0	0	0	0	0	0
IGF2BP1	0	0	0	0	0	0	0	0	0	0.0209226195933434	0	0	0	0	0	0	0	0	0.0674863278569012	0	0	0	0.0747805938388343	0	0	0	0	0	0	0	0	0	0	0	0	0	4.28878629692315	0	0.103726165350921	0	0	0	0	0	0	0	0	0	0	0	0.0700432170215981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966576310065571	1.72182149708322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0966576310065571	0	0.103726165350921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHSRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0570024289696716	0	0.103726165350921	4.42909164409517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0.0225724344633112	0.00980712976628286	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP4	0	0	0	0	0	0	0	0	0	0	0	0.331887569937061	0.507978828992742	0.0670994240826917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237886251323581	0	0	0	0	0	5.79707039697163	0	0	0	0	0	0	0	0	0	0	0.335916959658563	0	0.212954143179259	0.0158835358615617	0	0	0	0	0	0	0	0	0	0	0.0448789432053244	0	0	0	0	0	0	0	0	0	1.09024896707171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999892584183232	0	0	0	0	0	0.0999892584183232	0.18700659815038	0.156571968596483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIN28B	0	0	0	0	0	0	-0.195505391782766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8848704133786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSM11	0	0	0	0	0	0	0	0	0	0.00150467818237468	0	0	0	0	0	0	0	0	0.056706394250794	0	0	0	0.0432933821378983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0221927257461269	0	0	0	0	0	0	4.66580004801404	0	0	0	0	0	0	0.0313528750166284	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0546062187125298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METAP2	0	0	0	0	0	0	0	0	0	0.00150467818237468	0	0	0	0	0	0	0	0	0.056706394250794	0	0	0	0.0432933821378983	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0221927257461269	0	0	0	0	0	0	0	5.1210877436249	0	0	0	0	0	0.0313528750166284	0.0172825680800653	0	0	0	0	0	0	0	0	0	0	0	0	0.0546062187125298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTPAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55727370708694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCBP2	0	0	0	0.0748207961025853	0	0	0	0	0	0	0	0.00701787142240486	0.279982398070931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144360507148287	0	0	0	0	0	0.699032290001965	0	0	0	0	0	0	0	0.081950449709996	0	0	0	0	0	0	0	0	0	0	0.000280282772999946	0	0	0	0	0	0	0	0	0	0.212938200746075	0	0.0347517017800452	0.0626424989853554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999892584183232	0	0	0	0	0	0.0999892584183232	0.18700659815038	0.156571968596483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPBL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999892584183232	0	0	0	0	0	0.0999892584183232	0.946556717626876	0.582227086066438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0737921239307925	0	0	0	0	0	0	0	0	0.0430623866009612	0	0
NOLC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316251068661297	6.03310506607993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608880239771527	0	0
NONO	0	0	0	0	0	0	0	0	0	1.16886823757977	0	0	0	0	0	0	0	0	0.0924113145985325	0	0	0.465564953673945	1.03459854321794	0.387453053962225	0	0	0	0	0	0	0	0	0	0	0	0	0.0966576310065571	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09651895114934	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0750914119937915	0	0	0	0	0
PABPC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57826395188896	0	0	0	0	0	0	0	0	0	0	7.20980021726323	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448789432053244	0	0	0	0	0	0	0	0	0	0.229113093951687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0424033947014064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95287079240215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP1	0	0	0	0	0	0	0	0	0	0	0	0	0.0861607071237328	0.171070213448577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343433390365388	0	0	0	0	0	0.520860254224074	0	0	0	0	0	0	0	0	0	0	0	0	4.28878629692315	0.0572151025204841	0	0	0	0	0	0	0	0	0	0.0622712801165166	0	0	0	0	0	0	0	0	0	0	0.0407648805447358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP2	0	0	0	0	0	0	0	0	0	0	0	0	0.279982398070931	0.171070213448577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343433390365388	0	0	0	0	0	0.144360507148287	0	0	0	0	0	0	0	0	0	0	0	0	0.0548488537468645	0.911227767577374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212938200746075	0	0	0.0626424989853554	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIG	0	0	0	0	-0.734492099316105	0	-0.0348848448290134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.156571968596483	0	-0.0172825680800653	0	0	0	17.8438214249734	0	0	0	0	0	0	0	-0.586506592376753	0	0	0	-0.490981067854682	-0.387611923633056	0	0	0	0	0	0	0	0	-0.0347517017800452	-0.00980712976628286	0	0	0	0	0	0	0	0	-0.61854386581708	0	0	0	0	0
