RBP.name	GeneID	Essential.Genes	Splicing.regulation	Spliceosome	RNA.modification	X3..end.processing	rRNA.processing	Ribosome...basic.translation	RNA.stability...decay	microRNA.processing	RNA.localization	RNA.export	Translation.regulation	Viral.RNA.regulation	snoRNA...snRNA...telomerase	P.body...stress.granules	Novel.RBP	Nuclei	Nucleolus	Speckles	PML.bodies	Cytoplasm	Mitochondria	Golgi	P.bodies	StressGranule	ER	Cytoskeleton.Microtubule.Actin	Cell.Cortex	I	SS_I	SS_E	mRNA	AltSPl_RI	AltSPl_SE	LowGC	phastCons
PUM1	ENSG00000134644	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
GPKOW	ENSG00000068394	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
FXR2	ENSG00000129245	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0
METAP2	ENSG00000111142	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0
LARP4	ENSG00000161813	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0
RBM5	ENSG00000003756	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
NOLC1	ENSG00000166197	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0
LSM11	ENSG00000155858	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
TIAL1	ENSG00000151923	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1
TRA2A	ENSG00000164548	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0
GEMIN5	ENSG00000082516	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
NCBP2	ENSG00000114503	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
PCBP1	ENSG00000169564	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AATF	ENSG00000108270	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
DDX55	ENSG00000111364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0
IGF2BP1	ENSG00000159217	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
SUB1	ENSG00000113387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
DKC1	ENSG00000130826	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0
PCBP2	ENSG00000197111	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0
