ID	Name	Type	MDA	MCF	UHRR	K562	HEK	Hela	Plasma
ENSG00000003756	RBM5	protein_coding	358	395	2904	414	992	2530	27
ENSG00000003987	MTMR7	protein_coding	2	13	56	5	21	100	19
ENSG00000003989	SLC7A2	protein_coding	68	2393	3844	85	148	11767	31
ENSG00000004059	ARF5	protein_coding	317	505	2516	501	664	1088	5
ENSG00000004139	SARM1	protein_coding	14	124	459	12	160	308	7
ENSG00000004142	POLDIP2	protein_coding	330	311	3458	365	587	1017	7
ENSG00000004399	PLXND1	protein_coding	208	1238	4284	239	184	1214	26
ENSG00000004455	AK2	protein_coding	481	582	5130	956	1551	2064	21
ENSG00000004468	CD38	protein_coding	7	12	1163	40	54	18	30
ENSG00000004478	FKBP4	protein_coding	1505	5049	17279	2279	5975	1954	9
ENSG00000004487	KDM1A	protein_coding	191	379	2441	661	659	4981	10
ENSG00000004534	RBM6	protein_coding	159	504	2926	249	556	3254	46
ENSG00000004660	CAMKK1	protein_coding	35	35	619	50	221	1038	12
ENSG00000004700	RECQL	protein_coding	81	130	1568	78	159	1079	1
ENSG00000004766	VPS50	protein_coding	48	235	843	147	154	1224	31
ENSG00000004776	HSPB6	protein_coding	11	33	222	41	20	34	2
ENSG00000004777	ARHGAP33	protein_coding	64	126	587	224	92	173	8
ENSG00000004779	NDUFAB1	protein_coding	499	1435	8855	1511	2076	2370	7
ENSG00000004799	PDK4	protein_coding	32	181	762	62	80	2359	1
ENSG00000004809	SLC22A16	protein_coding	1	8	111	5	7	2	10
ENSG00000004838	ZMYND10	protein_coding	5	30	94	12	16	129	3
ENSG00000004846	ABCB5	protein_coding	8	28	83	12	43	39	41
ENSG00000004848	ARX	protein_coding	0	10	1	1	6	0	8
ENSG00000004864	SLC25A13	protein_coding	96	192	2646	285	344	2075	36
ENSG00000004866	ST7	protein_coding	64	130	661	306	168	1568	48
ENSG00000004897	CDC27	protein_coding	190	508	2447	256	556	1990	31
ENSG00000004939	SLC4A1	protein_coding	0	3	15	17	21	0	73
ENSG00000004948	CALCR	protein_coding	2	395	177	2	9	7	15
ENSG00000004961	HCCS	protein_coding	43	127	858	126	140	587	1
ENSG00000004975	DVL2	protein_coding	132	383	1797	161	509	570	5
ENSG00000005001	PRSS22	protein_coding	9	141	71	6	9	0	4
ENSG00000005007	UPF1	protein_coding	941	946	6587	983	1463	2618	19
ENSG00000005020	SKAP2	protein_coding	67	262	841	76	165	1076	57
ENSG00000005022	SLC25A5	protein_coding	630	2736	12595	1504	2525	3160	11
ENSG00000005059	MCUB	protein_coding	77	117	839	69	177	1066	50
ENSG00000005073	HOXA11	protein_coding	1	2	225	4	149	870	2
ENSG00000005075	POLR2J	protein_coding	1469	2584	13197	2467	2527	3515	12
ENSG00000005100	DHX33	protein_coding	442	428	2171	957	2137	10478	5
ENSG00000005102	MEOX1	protein_coding	4	0	28	6	19	111	8
ENSG00000005108	THSD7A	protein_coding	2	9	181	10	25	14	48
ENSG00000005156	LIG3	protein_coding	78	183	1424	254	401	1224	15
ENSG00000005175	RPAP3	protein_coding	29	139	839	106	209	1283	8
ENSG00000005187	ACSM3	protein_coding	9	45	613	756	51	40	28
ENSG00000005189	REXO5	protein_coding	42	230	687	388	280	786	9
ENSG00000005194	CIAPIN1	protein_coding	95	211	1766	279	428	760	2
ENSG00000005206	SPPL2B	protein_coding	298	538	2783	507	521	947	11
ENSG00000005238	FAM214B	protein_coding	42	78	191	30	23	206	7
ENSG00000005243	COPZ2	protein_coding	34	18	668	12	15	0	2
ENSG00000005249	PRKAR2B	protein_coding	18	69	326	356	121	17	48
ENSG00000005302	MSL3	protein_coding	31	75	464	84	114	517	9
ENSG00000005339	CREBBP	protein_coding	255	1220	2813	763	1736	6011	56
ENSG00000005379	TSPOAP1	protein_coding	59	18	645	78	20	0	15
ENSG00000005381	MPO	protein_coding	0	1	4	0	3	0	9
ENSG00000005421	PON1	protein_coding	2	1	14	0	0	2	7
ENSG00000005436	GCFC2	protein_coding	39	79	967	84	245	1356	19
ENSG00000005448	WDR54	protein_coding	217	293	1465	39	289	206	0
ENSG00000005469	CROT	protein_coding	20	163	492	29	98	83	13
ENSG00000005471	ABCB4	protein_coding	1	26	278	10	12	0	11
ENSG00000005483	KMT2E	protein_coding	99	601	2777	257	194	3558	25
ENSG00000005486	RHBDD2	protein_coding	168	812	2105	269	373	826	16
ENSG00000005513	SOX8	protein_coding	3	7	85	2	42	0	5
ENSG00000005700	IBTK	protein_coding	118	387	1893	229	267	2282	18
ENSG00000005801	ZNF195	protein_coding	75	143	976	193	150	572	7
ENSG00000005810	MYCBP2	protein_coding	111	325	3293	214	872	4679	57
ENSG00000005812	FBXL3	protein_coding	83	167	1198	139	748	1284	9
ENSG00000005844	ITGAL	protein_coding	10	24	577	128	454	17	54
ENSG00000005882	PDK2	protein_coding	72	263	610	34	229	185	8
ENSG00000005884	ITGA3	protein_coding	3353	508	3284	137	198	1797	22
ENSG00000005889	ZFX	protein_coding	138	370	1499	127	261	3573	18
ENSG00000005893	LAMP2	protein_coding	286	1113	3564	201	412	1022	5
ENSG00000005961	ITGA2B	protein_coding	3	10	123	247	82	165	19
ENSG00000005981	ASB4	protein_coding	14	0	62	1	6	0	12
ENSG00000006007	GDE1	protein_coding	124	287	1463	152	324	768	13
ENSG00000006015	REX1BD	protein_coding	311	442	2498	489	618	246	3
ENSG00000006016	CRLF1	protein_coding	7	109	1586	67	89	73	9
ENSG00000006025	OSBPL7	protein_coding	54	349	609	115	46	363	6
ENSG00000006042	TMEM98	protein_coding	13	22	558	166	247	0	3
ENSG00000006047	YBX2	protein_coding	3	159	100	9	13	8	3
ENSG00000006059	KRT33A	protein_coding	0	0	2	1	0	0	0
ENSG00000006062	MAP3K14	protein_coding	259	127	965	169	170	1104	35
ENSG00000006071	ABCC8	protein_coding	15	34	159	34	87	125	18
ENSG00000006116	CACNG3	protein_coding	0	5	253	15	17	1483	37
ENSG00000006118	TMEM132A	protein_coding	186	933	3096	74	760	312	3
ENSG00000006125	AP2B1	protein_coding	331	467	3075	465	460	2959	52
ENSG00000006128	TAC1	protein_coding	0	0	3	0	4	0	0
ENSG00000006194	ZNF263	protein_coding	71	239	1217	121	185	980	15
ENSG00000006210	CX3CL1	protein_coding	64	106	997	84	103	0	12
ENSG00000006282	SPATA20	protein_coding	224	725	1301	36	175	135	4
ENSG00000006283	CACNA1G	protein_coding	5	2	38	10	17	0	26
ENSG00000006327	TNFRSF12A	protein_coding	853	711	2787	90	94	410	2
ENSG00000006377	DLX6	protein_coding	1	3	60	0	32	0	4
ENSG00000006432	MAP3K9	protein_coding	86	501	597	30	108	253	23
ENSG00000006451	RALA	protein_coding	346	626	2671	559	910	2890	9
ENSG00000006453	BAIAP2L1	protein_coding	218	255	1382	206	390	1656	28
ENSG00000006459	KDM7A	protein_coding	37	252	995	248	395	460	18
ENSG00000006468	ETV1	protein_coding	87	20	885	143	24	6	21
ENSG00000006530	AGK	protein_coding	64	158	1169	195	442	452	24
ENSG00000006534	ALDH3B1	protein_coding	135	81	1103	23	19	1543	16
ENSG00000006555	TTC22	protein_coding	5	15	43	15	21	3	21
ENSG00000006576	PHTF2	protein_coding	72	250	1040	204	140	1175	22
ENSG00000006606	CCL26	protein_coding	26	10	109	48	15	33	8
ENSG00000006607	FARP2	protein_coding	86	292	1917	131	449	802	51
ENSG00000006611	USH1C	protein_coding	0	0	99	5	9	766	23
ENSG00000006625	GGCT	protein_coding	93	371	2347	320	367	1148	1
ENSG00000006634	DBF4	protein_coding	46	159	1484	138	184	1334	9
ENSG00000006638	TBXA2R	protein_coding	65	33	588	2690	136	1816	13
ENSG00000006652	IFRD1	protein_coding	144	375	1990	312	318	1569	24
ENSG00000006695	COX10	protein_coding	28	138	781	55	155	1260	16
ENSG00000006704	GTF2IRD1	protein_coding	241	603	2192	280	395	3942	58
ENSG00000006712	PAF1	protein_coding	181	478	1506	183	538	582	11
ENSG00000006715	VPS41	protein_coding	81	379	1586	157	212	1366	36
ENSG00000006740	ARHGAP44	protein_coding	3	111	329	8	100	65	50
ENSG00000006744	ELAC2	protein_coding	328	359	2656	253	933	1148	14
ENSG00000006747	SCIN	protein_coding	12	38	66	54	44	13	12
ENSG00000006756	ARSD	protein_coding	41	415	759	33	31	147	14
ENSG00000006757	PNPLA4	protein_coding	44	45	474	75	31	176	4
ENSG00000006788	MYH13	protein_coding	0	0	20	19	12	12	14
ENSG00000006831	ADIPOR2	protein_coding	128	840	3024	230	332	3532	43
ENSG00000006837	CDKL3	protein_coding	23	81	476	58	59	290	11
ENSG00000007001	UPP2	protein_coding	16	38	121	11	17	37	36
ENSG00000007038	PRSS21	protein_coding	12	13	1369	601	16	2226	3
ENSG00000007047	MARK4	protein_coding	38	250	802	226	272	252	52
ENSG00000007062	PROM1	protein_coding	19	55	306	27	47	0	17
ENSG00000007080	CCDC124	protein_coding	148	135	1284	154	322	1010	12
ENSG00000007129	CEACAM21	protein_coding	19	25	685	35	180	104	17
ENSG00000007168	PAFAH1B1	protein_coding	357	737	3456	256	711	2558	41
ENSG00000007171	NOS2	protein_coding	5	0	48	0	27	1	18
ENSG00000007174	DNAH9	protein_coding	9	12	123	13	59	55	116
ENSG00000007202	KIAA0100	protein_coding	426	1335	4472	637	639	3646	15
ENSG00000007216	SLC13A2	protein_coding	5	3	13	7	11	1	10
ENSG00000007237	GAS7	protein_coding	57	108	1989	75	131	71	126
ENSG00000007255	TRAPPC6A	protein_coding	48	684	1520	264	298	74	7
ENSG00000007264	MATK	protein_coding	1	82	667	294	529	715	29
ENSG00000007306	CEACAM7	protein_coding	0	12	11	3	1	0	9
ENSG00000007312	CD79B	protein_coding	0	3	19	1	0	0	4
ENSG00000007314	SCN4A	protein_coding	1	4	69	33	33	24	10
ENSG00000007341	ST7L	protein_coding	162	171	1291	147	272	1819	26
ENSG00000007350	TKTL1	protein_coding	1	0	41	1	14	2	3
ENSG00000007372	PAX6	protein_coding	0	2	127	25	113	604	17
ENSG00000007376	RPUSD1	protein_coding	293	335	1925	272	1131	173	7
ENSG00000007384	RHBDF1	protein_coding	125	448	903	52	74	158	7
ENSG00000007392	LUC7L	protein_coding	158	377	2406	243	441	1393	22
ENSG00000007402	CACNA2D2	protein_coding	3	20	284	29	152	41	35
ENSG00000007516	BAIAP3	protein_coding	32	144	270	32	57	69	8
ENSG00000007520	TSR3	protein_coding	299	267	1935	318	663	189	6
ENSG00000007541	PIGQ	protein_coding	125	243	1149	198	462	475	0
ENSG00000007545	CRAMP1	protein_coding	3	64	312	95	115	308	8
ENSG00000007866	TEAD3	protein_coding	123	110	493	66	53	248	11
ENSG00000007908	SELE	protein_coding	1	3	5	1	6	0	5
ENSG00000007923	DNAJC11	protein_coding	366	306	2818	665	802	1993	17
ENSG00000007933	FMO3	protein_coding	0	1	8	1	4	1	11
ENSG00000007944	MYLIP	protein_coding	96	646	1539	205	165	734	4
ENSG00000007952	NOX1	protein_coding	1	0	20	6	13	0	8
ENSG00000007968	E2F2	protein_coding	46	49	751	107	109	813	10
ENSG00000008018	PSMB1	protein_coding	1149	1752	9388	1724	2257	2010	8
ENSG00000008056	SYN1	protein_coding	2	1	77	1	21	40	7
ENSG00000008083	JARID2	protein_coding	242	2273	5311	289	502	1779	101
ENSG00000008086	CDKL5	protein_coding	9	101	441	21	81	758	34
ENSG00000008118	CAMK1G	protein_coding	1	4	90	0	3	0	13
ENSG00000008128	CDK11A	protein_coding	86	168	717	150	117	793	28
ENSG00000008130	NADK	protein_coding	202	728	2696	523	502	3545	26
ENSG00000008196	TFAP2B	protein_coding	36	61	94	47	59	0	5
ENSG00000008197	TFAP2D	protein_coding	4	8	2	3	7	0	9
ENSG00000008226	DLEC1	protein_coding	11	3	43	6	6	1	36
ENSG00000008256	CYTH3	protein_coding	97	107	974	167	152	637	37
ENSG00000008277	ADAM22	protein_coding	15	99	690	23	138	246	40
ENSG00000008282	SYPL1	protein_coding	171	716	2547	246	190	748	7
ENSG00000008283	CYB561	protein_coding	116	1204	1115	115	81	358	2
ENSG00000008294	SPAG9	protein_coding	172	828	2700	286	426	2288	54
ENSG00000008300	CELSR3	protein_coding	13	132	772	38	117	404	7
ENSG00000008311	AASS	protein_coding	39	12	329	10	62	46	4
ENSG00000008323	PLEKHG6	protein_coding	3	161	181	20	11	1	10
ENSG00000008324	SS18L2	protein_coding	80	110	639	183	261	362	7
ENSG00000008382	MPND	protein_coding	65	309	995	114	231	242	11
ENSG00000008394	MGST1	protein_coding	177	1197	5437	288	208	1351	28
ENSG00000008405	CRY1	protein_coding	88	151	930	111	175	826	7
ENSG00000008438	PGLYRP1	protein_coding	0	0	3	0	0	0	0
ENSG00000008441	NFIX	protein_coding	232	163	1631	318	247	575	58
ENSG00000008513	ST3GAL1	protein_coding	113	335	1552	132	61	337	53
ENSG00000008516	MMP25	protein_coding	2	1	101	2	16	0	4
ENSG00000008517	IL32	protein_coding	43	13	830	12	15	200	18
ENSG00000008710	PKD1	protein_coding	212	762	3043	333	427	1632	84
ENSG00000008735	MAPK8IP2	protein_coding	1	68	169	9	326	9	4
ENSG00000008838	MED24	protein_coding	151	192	1477	250	419	929	21
ENSG00000008853	RHOBTB2	protein_coding	36	89	654	34	38	1030	11
ENSG00000008869	HEATR5B	protein_coding	76	211	849	112	222	1021	25
ENSG00000008952	SEC62	protein_coding	179	486	2139	201	352	1936	20
ENSG00000008988	RPS20	protein_coding	3717	9686	55238	8713	10885	7787	63
ENSG00000009307	CSDE1	protein_coding	639	6612	11529	1129	2069	11368	51
ENSG00000009335	UBE3C	protein_coding	231	627	3544	434	648	4322	52
ENSG00000009413	REV3L	protein_coding	95	475	1886	192	382	2555	22
ENSG00000009694	TENM1	protein_coding	5	19	372	49	43	14	52
ENSG00000009709	PAX7	protein_coding	4	11	72	3	74	6	62
ENSG00000009724	MASP2	protein_coding	1	5	56	3	8	26	4
ENSG00000009765	IYD	protein_coding	1	2	14	0	10	0	8
ENSG00000009780	FAM76A	protein_coding	28	54	461	67	147	478	14
ENSG00000009790	TRAF3IP3	protein_coding	8	11	339	15	4	0	15
ENSG00000009830	POMT2	protein_coding	61	231	673	66	301	445	7
ENSG00000009844	VTA1	protein_coding	62	314	1474	175	290	848	15
ENSG00000009950	MLXIPL	protein_coding	45	64	963	125	93	641	13
ENSG00000009954	BAZ1B	protein_coding	557	683	5667	805	1223	4588	43
ENSG00000010017	RANBP9	protein_coding	157	405	1918	234	189	1450	21
ENSG00000010030	ETV7	protein_coding	23	10	46	5	34	107	8
ENSG00000010072	SPRTN	protein_coding	34	68	253	79	176	237	5
ENSG00000010165	METTL13	protein_coding	76	254	1244	152	196	475	10
ENSG00000010219	DYRK4	protein_coding	76	33	511	18	116	93	11
ENSG00000010244	ZNF207	protein_coding	237	531	4251	521	812	2595	15
ENSG00000010256	UQCRC1	protein_coding	466	596	6804	751	1421	1715	7
ENSG00000010270	STARD3NL	protein_coding	103	112	1014	183	245	261	29
ENSG00000010278	CD9	protein_coding	298	3562	4207	173	299	1353	24
ENSG00000010282	HHATL	protein_coding	0	1	7	0	0	0	2
ENSG00000010292	NCAPD2	protein_coding	467	575	6310	439	735	4486	9
ENSG00000010295	IFFO1	protein_coding	31	19	1143	31	157	12	10
ENSG00000010310	GIPR	protein_coding	8	42	89	145	30	22	16
ENSG00000010318	PHF7	protein_coding	28	71	535	83	71	274	2
ENSG00000010319	SEMA3G	protein_coding	6	11	211	25	54	89	7
ENSG00000010322	NISCH	protein_coding	259	328	3263	581	1476	2909	25
ENSG00000010327	STAB1	protein_coding	33	49	118	68	58	31	21
ENSG00000010361	FUZ	protein_coding	28	140	442	49	229	15	3
ENSG00000010379	SLC6A13	protein_coding	0	1	28	15	7	0	4
ENSG00000010404	IDS	protein_coding	153	480	1241	104	163	171	26
ENSG00000010438	PRSS3	protein_coding	158	2	59	7	7	26	53
ENSG00000010539	ZNF200	protein_coding	16	90	462	51	47	492	10
ENSG00000010610	CD4	protein_coding	9	11	246	23	12	31	16
ENSG00000010626	LRRC23	protein_coding	43	60	494	61	134	443	3
ENSG00000010671	BTK	protein_coding	1	7	249	140	13	15	13
ENSG00000010704	HFE	protein_coding	61	8	424	15	7	492	4
ENSG00000010803	SCMH1	protein_coding	170	219	2709	221	385	1558	53
ENSG00000010810	FYN	protein_coding	51	75	1469	121	331	1176	73
ENSG00000010818	HIVEP2	protein_coding	208	245	1738	92	178	1333	55
ENSG00000010932	FMO1	protein_coding	7	23	149	16	50	0	5
ENSG00000011007	ELOA	protein_coding	80	196	1223	129	247	1611	20
ENSG00000011009	LYPLA2	protein_coding	623	488	3849	963	1139	406	5
ENSG00000011021	CLCN6	protein_coding	95	127	1010	130	185	1163	14
ENSG00000011028	MRC2	protein_coding	143	373	2420	157	272	383	26
ENSG00000011052	NME1-NME2	protein_coding	736	1052	4958	821	2413	1072	1
ENSG00000011083	SLC6A7	protein_coding	0	2	69	7	5	128	17
ENSG00000011105	TSPAN9	protein_coding	427	325	3357	168	1006	745	80
ENSG00000011114	BTBD7	protein_coding	39	375	1151	87	169	1224	29
ENSG00000011132	APBA3	protein_coding	182	115	1053	225	349	333	18
ENSG00000011143	MKS1	protein_coding	20	108	362	88	165	495	6
ENSG00000011198	ABHD5	protein_coding	193	149	1268	201	192	574	9
ENSG00000011201	ANOS1	protein_coding	24	12	308	15	23	10	26
ENSG00000011243	AKAP8L	protein_coding	601	759	3453	1202	1508	2093	22
ENSG00000011258	MBTD1	protein_coding	77	551	1628	115	193	1557	18
ENSG00000011260	UTP18	protein_coding	98	336	1377	144	257	1100	13
ENSG00000011275	RNF216	protein_coding	129	593	2653	237	417	2640	46
ENSG00000011295	TTC19	protein_coding	129	294	1655	167	428	1282	29
ENSG00000011304	PTBP1	protein_coding	1683	2004	18202	2703	3834	4105	21
ENSG00000011332	DPF1	protein_coding	30	14	117	36	124	88	5
ENSG00000011347	SYT7	protein_coding	12	455	478	21	53	2	22
ENSG00000011376	LARS2	protein_coding	105	126	1776	239	470	1624	19
ENSG00000011405	PIK3C2A	protein_coding	64	317	1448	126	232	2033	26
ENSG00000011422	PLAUR	protein_coding	159	70	1145	55	69	815	21
ENSG00000011426	ANLN	protein_coding	467	375	3839	200	338	4419	10
ENSG00000011451	WIZ	protein_coding	48	199	1191	76	137	910	15
ENSG00000011454	RABGAP1	protein_coding	117	924	2026	188	314	2324	57
ENSG00000011465	DCN	protein_coding	117	307	1469	242	239	0	4
ENSG00000011478	QPCTL	protein_coding	148	207	1413	225	323	428	3
ENSG00000011485	PPP5C	protein_coding	286	308	2503	481	849	1091	23
ENSG00000011523	CEP68	protein_coding	34	120	876	108	186	349	12
ENSG00000011566	MAP4K3	protein_coding	134	694	1589	238	218	1610	29
ENSG00000011590	ZBTB32	protein_coding	0	3	13	2	4	1	5
ENSG00000011600	TYROBP	protein_coding	14	29	169	48	21	0	21
ENSG00000011638	TMEM159	protein_coding	56	254	341	41	51	129	1
ENSG00000011677	GABRA3	protein_coding	2	7	95	22	49	299	44
ENSG00000012048	BRCA1	protein_coding	140	290	2743	873	1026	4378	31
ENSG00000012061	ERCC1	protein_coding	377	438	1730	299	428	865	34
ENSG00000012124	CD22	protein_coding	34	16	50	20	4	9	20
ENSG00000012171	SEMA3B	protein_coding	379	924	2813	58	70	1674	5
ENSG00000012174	MBTPS2	protein_coding	108	132	1524	235	480	4135	7
ENSG00000012211	PRICKLE3	protein_coding	30	73	253	119	67	527	1
ENSG00000012223	LTF	protein_coding	159	271	663	212	244	0	18
ENSG00000012232	EXTL3	protein_coding	138	150	1662	157	293	289	53
ENSG00000012504	NR1H4	protein_coding	1	5	392	14	8	51	16
ENSG00000012660	ELOVL5	protein_coding	367	606	5333	757	552	2883	53
ENSG00000012779	ALOX5	protein_coding	20	17	132	75	41	55	51
ENSG00000012817	KDM5D	protein_coding	1	4	398	4	2	0	3
ENSG00000012822	CALCOCO1	protein_coding	76	228	509	74	90	560	10
ENSG00000012963	UBR7	protein_coding	108	290	1380	142	170	951	4
ENSG00000012983	MAP4K5	protein_coding	165	412	1577	94	320	2310	27
ENSG00000013016	EHD3	protein_coding	7	45	335	23	78	0	17
ENSG00000013275	PSMC4	protein_coding	254	533	3049	423	461	1161	7
ENSG00000013288	MAN2B2	protein_coding	101	251	1094	112	139	175	16
ENSG00000013293	SLC7A14	protein_coding	3	2	26	8	16	1	16
ENSG00000013297	CLDN11	protein_coding	76	911	719	169	123	206	94
ENSG00000013306	SLC25A39	protein_coding	699	1184	6564	1204	2138	2151	17
ENSG00000013364	MVP	protein_coding	966	936	4271	111	119	517	9
ENSG00000013374	NUB1	protein_coding	304	231	2019	371	568	1090	16
ENSG00000013375	PGM3	protein_coding	114	142	1250	174	247	1082	7
ENSG00000013392	RWDD2A	protein_coding	3	54	193	27	61	253	0
ENSG00000013441	CLK1	protein_coding	360	370	2249	190	366	3492	13
ENSG00000013503	POLR3B	protein_coding	84	163	1013	271	680	9292	31
ENSG00000013523	ANGEL1	protein_coding	29	169	641	76	124	356	15
ENSG00000013561	RNF14	protein_coding	66	212	728	182	159	737	15
ENSG00000013563	DNASE1L1	protein_coding	85	507	840	72	234	387	4
ENSG00000013573	DDX11	protein_coding	419	354	3991	606	1299	3600	16
ENSG00000013583	HEBP1	protein_coding	26	201	600	39	70	140	10
ENSG00000013588	GPRC5A	protein_coding	607	4825	4209	129	135	19242	7
ENSG00000013619	MAMLD1	protein_coding	152	122	437	12	48	1005	30
ENSG00000013725	CD6	protein_coding	4	14	314	8	4	18	16
ENSG00000013810	TACC3	protein_coding	304	262	3321	440	515	1107	14
ENSG00000014123	UFL1	protein_coding	72	151	709	119	176	897	1
ENSG00000014138	POLA2	protein_coding	87	229	1940	206	480	1590	13
ENSG00000014164	ZC3H3	protein_coding	1309	364	6079	1077	368	4958	41
ENSG00000014216	CAPN1	protein_coding	1115	1945	5368	1031	746	793	30
ENSG00000014257	ACPP	protein_coding	0	12	52	9	14	149	6
ENSG00000014641	MDH1	protein_coding	286	622	5375	706	773	1892	14
ENSG00000014824	SLC30A9	protein_coding	101	248	1553	160	275	1456	22
ENSG00000014914	MTMR11	protein_coding	132	55	245	32	39	331	2
ENSG00000014919	COX15	protein_coding	99	189	1081	70	193	1029	5
ENSG00000015133	CCDC88C	protein_coding	111	295	1503	189	151	1274	41
ENSG00000015153	YAF2	protein_coding	63	219	950	108	167	1243	24
ENSG00000015171	ZMYND11	protein_coding	117	665	1104	108	169	962	26
ENSG00000015285	WAS	protein_coding	21	18	413	69	45	56	7
ENSG00000015413	DPEP1	protein_coding	0	0	93	1	14	18	26
ENSG00000015475	BID	protein_coding	151	492	2085	445	581	389	48
ENSG00000015479	MATR3	protein_coding	476	1021	6203	729	1028	4538	23
ENSG00000015520	NPC1L1	protein_coding	1	11	247	12	4	1	11
ENSG00000015532	XYLT2	protein_coding	86	425	1371	94	315	541	9
ENSG00000015568	RGPD5	protein_coding	45	170	665	25	101	366	19
ENSG00000015592	STMN4	protein_coding	0	0	2	0	0	0	8
ENSG00000015676	NUDCD3	protein_coding	367	478	2967	239	374	1906	44
ENSG00000016082	ISL1	protein_coding	0	0	9	1	96	0	10
ENSG00000016391	CHDH	protein_coding	19	136	973	45	195	344	9
ENSG00000016402	IL20RA	protein_coding	1	19	37	10	9	58	4
ENSG00000016490	CLCA1	protein_coding	0	3	23	7	5	3	7
ENSG00000016602	CLCA4	protein_coding	2	3	12	3	13	0	7
ENSG00000016864	GLT8D1	protein_coding	89	122	1539	97	292	557	2
ENSG00000017260	ATP2C1	protein_coding	129	383	2130	162	253	1480	28
ENSG00000017427	IGF1	protein_coding	11	16	93	85	31	1	14
ENSG00000017483	SLC38A5	protein_coding	18	42	2724	520	35	1316	9
ENSG00000017797	RALBP1	protein_coding	201	287	1515	276	165	1467	16
ENSG00000018189	RUFY3	protein_coding	63	118	902	83	142	298	21
ENSG00000018236	CNTN1	protein_coding	9	10	80	12	34	1	35
ENSG00000018280	SLC11A1	protein_coding	15	49	93	33	37	63	8
ENSG00000018408	WWTR1	protein_coding	174	286	2528	114	185	1853	49
ENSG00000018510	AGPS	protein_coding	116	43	2285	253	299	1419	14
ENSG00000018607	ZNF806	pseudogene	0	0	0	2	0	0	0
ENSG00000018610	CXorf56	protein_coding	196	259	1555	255	728	665	6
ENSG00000018625	ATP1A2	protein_coding	3	3	200	6	4	0	8
