ID	Intron	GName	GID	Combined_H_repo	PatientA_C_repro	PatientB_C_repo	MDA_repro	MCF_repro	Combined_H	PatientA_C	PatientB_C	MDA	MCF
10I_CCDC154___ENSG00000197599___ENST00000409671___protein_coding___protein_coding	10I	CCDC154	ENSG00000197599	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_CCNC___ENSG00000112237___ENST00000486428___protein_coding___protein_coding	10I	CCNC	ENSG00000112237	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
10I_CDK16___ENSG00000102225___ENST00000457458___protein_coding___protein_coding	10I	CDK16	ENSG00000102225	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00433468488663609
10I_CNKSR1___ENSG00000142675___ENST00000361530___protein_coding___protein_coding	10I	CNKSR1	ENSG00000142675	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0.0101142647354842
10I_CNOT2___ENSG00000111596___ENST00000229195___protein_coding___protein_coding	10I	CNOT2	ENSG00000111596	TRUE	FALSE	FALSE	FALSE	FALSE	0.00327793796277539	0.00372841708829596	0.00418809759833753	0.00481948558892842	0
10I_CORO7___ENSG00000262246___ENST00000251166___protein_coding___protein_coding	10I	CORO7	ENSG00000262246	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00209404879916876	0	0
10I_CSK___ENSG00000103653___ENST00000220003___protein_coding___protein_coding	10I	CSK	ENSG00000103653	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
10I_CYTH2___ENSG00000105443___ENST00000452733___protein_coding___protein_coding	10I	CYTH2	ENSG00000105443	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.0146583415941813	0.0192779423557137	0
10I_DALRD3___ENSG00000178149___ENST00000441576___protein_coding___protein_coding	10I	DALRD3	ENSG00000178149	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_DEF6___ENSG00000023892___ENST00000316637___protein_coding___protein_coding	10I	DEF6	ENSG00000023892	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0	0	0
10I_DNAJC13___ENSG00000138246___ENST00000260818___protein_coding___protein_coding	10I	DNAJC13	ENSG00000138246	TRUE	FALSE	FALSE	FALSE	FALSE	0.00983381388832617	0	0.00628214639750629	0.00963897117785683	0.00577957984884812
10I_DNMT1___ENSG00000130816___ENST00000359526___protein_coding___protein_coding	10I	DNMT1	ENSG00000130816	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_E4F1___ENSG00000167967___ENST00000301727___protein_coding___protein_coding	10I	E4F1	ENSG00000167967	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0	0	0.00722447481106015
10I_EEF2___ENSG00000167658___ENST00000309311___protein_coding___protein_coding	10I	EEF2	ENSG00000167658	FALSE	FALSE	FALSE	FALSE	FALSE	0.00327793796277539	0	0	0	0.00144489496221203
10I_EIF4A1___ENSG00000161960___ENST00000293831___protein_coding___protein_coding	10I	EIF4A1	ENSG00000161960	FALSE	FALSE	FALSE	TRUE	FALSE	0	0	0	0.0385558847114273	0
10I_EPN1___ENSG00000063245___ENST00000270460___protein_coding___protein_coding	10I	EPN1	ENSG00000063245	FALSE	FALSE	FALSE	FALSE	FALSE	0.0262235037022031	0	0.00418809759833753	0.00481948558892842	0
10I_FAM50A___ENSG00000071859___ENST00000393600___protein_coding___protein_coding	10I	FAM50A	ENSG00000071859	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_FASN___ENSG00000169710___ENST00000634990___protein_coding___protein_coding	10I	FASN	ENSG00000169710	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0.0385558847114273	0.00288978992442406
10I_GANAB___ENSG00000089597___ENST00000356638___protein_coding___protein_coding	10I	GANAB	ENSG00000089597	FALSE	FALSE	FALSE	FALSE	FALSE	0.0198761266519034	0	0.00628214639750629	0	0
10I_GATAD2A___ENSG00000167491___ENST00000360315___protein_coding___protein_coding	10I	GATAD2A	ENSG00000167491	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_GBA2___ENSG00000070610___ENST00000378103___protein_coding___protein_coding	10I	GBA2	ENSG00000070610	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_GDI1___ENSG00000203879___ENST00000447750___protein_coding___protein_coding	10I	GDI1	ENSG00000203879	TRUE	TRUE	TRUE	FALSE	TRUE	0.00561419431176837	0.0149136683531838	0.0125642927950126	0.0722922838339262	0.0505713236774211
10I_GLE1___ENSG00000119392___ENST00000309971___protein_coding___protein_coding	10I	GLE1	ENSG00000119392	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_GNAS___ENSG00000087460___ENST00000313949___protein_coding___protein_coding	10I	GNAS	ENSG00000087460	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0.00144489496221203
10I_GPS1___ENSG00000169727___ENST00000578552___protein_coding___protein_coding	10I	GPS1	ENSG00000169727	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0	0	0.00577957984884812
10I_GRK2___ENSG00000173020___ENST00000308595___protein_coding___protein_coding	10I	GRK2	ENSG00000173020	FALSE	FALSE	TRUE	FALSE	FALSE	0.00163896898138769	0	0.00418809759833753	0	0.00288978992442406
10I_GRK6___ENSG00000198055___ENST00000355472___protein_coding___protein_coding	10I	GRK6	ENSG00000198055	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_GTF2H4___ENSG00000213780___ENST00000259895___protein_coding___protein_coding	10I	GTF2H4	ENSG00000213780	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00209404879916876	0.0481948558892842	0
10I_HDAC1___ENSG00000116478___ENST00000373548___protein_coding___protein_coding	10I	HDAC1	ENSG00000116478	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_HDAC10___ENSG00000100429___ENST00000349505___protein_coding___protein_coding	10I	HDAC10	ENSG00000100429	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
10I_HNRNPA1___ENSG00000135486___ENST00000547566___protein_coding___lncRNA	10I	HNRNPA1	ENSG00000135486	TRUE	FALSE	TRUE	TRUE	FALSE	0.00397522533038068	0.00372841708829596	0.0104702439958438	0.0915702261896399	0.00288978992442406
10I_HSF4___ENSG00000102878___ENST00000584272___protein_coding___protein_coding	10I	HSF4	ENSG00000102878	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0	0	0
10I_HSP90B1___ENSG00000166598___ENST00000299767___protein_coding___protein_coding	10I	HSP90B1	ENSG00000166598	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00209404879916876	0	0
10I_HSPA9___ENSG00000113013___ENST00000297185___protein_coding___protein_coding	10I	HSPA9	ENSG00000113013	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0.00372841708829596	0.00209404879916876	0	0
10I_HYOU1___ENSG00000149428___ENST00000530473___protein_coding___protein_coding	10I	HYOU1	ENSG00000149428	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
10I_IFRD2___ENSG00000214706___ENST00000417626___protein_coding___protein_coding	10I	IFRD2	ENSG00000214706	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0.00209404879916876	0	0
10I_IL17RC___ENSG00000163702___ENST00000383812___protein_coding___protein_coding	10I	IL17RC	ENSG00000163702	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00144489496221203
10I_ILF3___ENSG00000129351___ENST00000449870___protein_coding___protein_coding	10I	ILF3	ENSG00000129351	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0.00418809759833753	0	0.00288978992442406
10I_INTS1___ENSG00000164880___ENST00000404767___protein_coding___protein_coding	10I	INTS1	ENSG00000164880	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0	0	0
10I_ITGA5___ENSG00000161638___ENST00000293379___protein_coding___protein_coding	10I	ITGA5	ENSG00000161638	TRUE	FALSE	FALSE	FALSE	FALSE	0.0311404106463662	0.00745683417659191	0.00628214639750629	0	0.00577957984884812
10I_KAT7___ENSG00000136504___ENST00000259021___protein_coding___protein_coding	10I	KAT7	ENSG00000136504	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0	0	0
10I_KIF13A___ENSG00000137177___ENST00000502297___protein_coding___protein_coding	10I	KIF13A	ENSG00000137177	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00144489496221203
10I_KIF7___ENSG00000166813___ENST00000394412___protein_coding___protein_coding	10I	KIF7	ENSG00000166813	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0.00144489496221203
10I_KIT___ENSG00000157404___ENST00000412167___protein_coding___protein_coding	10I	KIT	ENSG00000157404	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_KLC2___ENSG00000174996___ENST00000417856___protein_coding___protein_coding	10I	KLC2	ENSG00000174996	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0.00209404879916876	0	0
10I_KMT2B___ENSG00000272333___ENST00000420124___protein_coding___protein_coding	10I	KMT2B	ENSG00000272333	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0.00288978992442406
10I_LMF2___ENSG00000100258___ENST00000474879___protein_coding___protein_coding	10I	LMF2	ENSG00000100258	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_LRIG2___ENSG00000198799___ENST00000361127___protein_coding___protein_coding	10I	LRIG2	ENSG00000198799	TRUE	TRUE	TRUE	FALSE	FALSE	0.00983381388832617	0.00745683417659191	0.00837619519667505	0	0.00433468488663609
10I_MAP2K7___ENSG00000076984___ENST00000397981___protein_coding___protein_coding	10I	MAP2K7	ENSG00000076984	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
10I_MAP7D1___ENSG00000116871___ENST00000316156___protein_coding___protein_coding	10I	MAP7D1	ENSG00000116871	FALSE	FALSE	FALSE	FALSE	FALSE	0.0114727828697139	0	0	0	0
10I_MARK2___ENSG00000072518___ENST00000402010___protein_coding___protein_coding	10I	MARK2	ENSG00000072518	FALSE	FALSE	TRUE	FALSE	TRUE	0.00362658164657803	0.00372841708829596	0.0146583415941813	0	0.0115591596976962
10I_MCAM___ENSG00000076706___ENST00000264036___protein_coding___protein_coding	10I	MCAM	ENSG00000076706	FALSE	FALSE	FALSE	FALSE	FALSE	0.0139132886563324	0	0	0	0
10I_MKNK2___ENSG00000099875___ENST00000591601___protein_coding___protein_coding	10I	MKNK2	ENSG00000099875	FALSE	FALSE	TRUE	FALSE	FALSE	0.00491690694416308	0	0.0397869271842065	0	0
10I_MMS19___ENSG00000155229___ENST00000434538___protein_coding___protein_coding	10I	MMS19	ENSG00000155229	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_MORC2___ENSG00000133422___ENST00000215862___protein_coding___protein_coding	10I	MORC2	ENSG00000133422	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.0192779423557137	0
10I_MST1R___ENSG00000164078___ENST00000296474___protein_coding___protein_coding	10I	MST1R	ENSG00000164078	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0	0	0
10I_MSTO1___ENSG00000125459___ENST00000245564___protein_coding___protein_coding	10I	MSTO1	ENSG00000125459	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_MUTYH___ENSG00000132781___ENST00000448481___protein_coding___protein_coding	10I	MUTYH	ENSG00000132781	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0.00144489496221203
10I_MYH10___ENSG00000133026___ENST00000269243___protein_coding___protein_coding	10I	MYH10	ENSG00000133026	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0	0	0
10I_NCL___ENSG00000115053___ENST00000322723___protein_coding___protein_coding	10I	NCL	ENSG00000115053	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0.00418809759833753	0	0
10I_NFKBID___ENSG00000167604___ENST00000641389___protein_coding___protein_coding	10I	NFKBID	ENSG00000167604	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0.00372841708829596	0.00418809759833753	0	0.00144489496221203
10I_NPC1___ENSG00000141458___ENST00000591051___protein_coding___protein_coding	10I	NPC1	ENSG00000141458	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00418809759833753	0	0
10I_NSUN5P1___ENSG00000223705___ENST00000421140___pseudogene___pseudogene	10I	NSUN5P1	ENSG00000223705	FALSE	FALSE	TRUE	FALSE	FALSE	0	0.00372841708829596	0.0104702439958438	0	0.00577957984884812
10I_PAF1___ENSG00000006712___ENST00000221265___protein_coding___protein_coding	10I	PAF1	ENSG00000006712	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0.00372841708829596	0.00418809759833753	0	0
10I_PAN3___ENSG00000152520___ENST00000380958___protein_coding___protein_coding	10I	PAN3	ENSG00000152520	FALSE	FALSE	TRUE	FALSE	FALSE	0.00163896898138769	0	0.00837619519667505	0	0.00144489496221203
10I_PDE4D___ENSG00000113448___ENST00000358923___protein_coding___protein_coding	10I	PDE4D	ENSG00000113448	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0.00144489496221203
10I_PELP1___ENSG00000141456___ENST00000301396___protein_coding___protein_coding	10I	PELP1	ENSG00000141456	FALSE	FALSE	TRUE	FALSE	FALSE	0	0.00372841708829596	0.0502571711800503	0	0
10I_PHKA2___ENSG00000044446___ENST00000379942___protein_coding___protein_coding	10I	PHKA2	ENSG00000044446	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_PIDD1___ENSG00000177595___ENST00000411829___protein_coding___protein_coding	10I	PIDD1	ENSG00000177595	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0.00418809759833753	0	0
10I_PIEZO1___ENSG00000103335___ENST00000301015___protein_coding___protein_coding	10I	PIEZO1	ENSG00000103335	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0.00209404879916876	0	0
10I_PIGS___ENSG00000087111___ENST00000395346___protein_coding___protein_coding	10I	PIGS	ENSG00000087111	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0.00372841708829596	0.00209404879916876	0	0
10I_PITRM1___ENSG00000107959___ENST00000380989___protein_coding___protein_coding	10I	PITRM1	ENSG00000107959	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0	0	0
10I_PITRM1___ENSG00000107959___ENST00000380994___protein_coding___protein_coding	10I	PITRM1	ENSG00000107959	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0	0	0
10I_PKD1___ENSG00000008710___ENST00000423118___protein_coding___protein_coding	10I	PKD1	ENSG00000008710	FALSE	FALSE	FALSE	FALSE	FALSE	0.0139132886563324	0	0.00209404879916876	0.00481948558892842	0.00577957984884812
10I_PLEKHM2___ENSG00000116786___ENST00000375799___protein_coding___protein_coding	10I	PLEKHM2	ENSG00000116786	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.00481948558892842	0
10I_PLK3___ENSG00000173846___ENST00000372201___protein_coding___protein_coding	10I	PLK3	ENSG00000173846	FALSE	FALSE	TRUE	FALSE	FALSE	0.00163896898138769	0	0.00418809759833753	0.00963897117785683	0
10I_PLXNB2___ENSG00000196576___ENST00000614805___protein_coding___protein_coding	10I	PLXNB2	ENSG00000196576	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00288978992442406
10I_PMPCB___ENSG00000105819___ENST00000249269___protein_coding___protein_coding	10I	PMPCB	ENSG00000105819	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_POLR3E___ENSG00000058600___ENST00000615879___protein_coding___protein_coding	10I	POLR3E	ENSG00000058600	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0.00209404879916876	0	0
10I_PPOX___ENSG00000143224___ENST00000352210___protein_coding___protein_coding	10I	PPOX	ENSG00000143224	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00288978992442406
10I_PPP2R5A___ENSG00000066027___ENST00000261461___protein_coding___protein_coding	10I	PPP2R5A	ENSG00000066027	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_PRPF40B___ENSG00000110844___ENST00000548825___protein_coding___protein_coding	10I	PRPF40B	ENSG00000110844	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00288978992442406
10I_PRPF8___ENSG00000174231___ENST00000572621___protein_coding___protein_coding	10I	PRPF8	ENSG00000174231	FALSE	FALSE	FALSE	FALSE	FALSE	0.00491690694416308	0	0	0.0819312550117831	0
10I_PRRC2A___ENSG00000204469___ENST00000376007___protein_coding___protein_coding	10I	PRRC2A	ENSG00000204469	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0.00372841708829596	0.00418809759833753	0.0192779423557137	0
10I_PSME1___ENSG00000092010___ENST00000206451___protein_coding___protein_coding	10I	PSME1	ENSG00000092010	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00288978992442406
10I_PTPN23___ENSG00000076201___ENST00000265562___protein_coding___protein_coding	10I	PTPN23	ENSG00000076201	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_REXO1___ENSG00000079313___ENST00000643515___protein_coding___protein_coding	10I	REXO1	ENSG00000079313	FALSE	FALSE	FALSE	FALSE	FALSE	0.00327793796277539	0	0.00209404879916876	0	0
10I_RFX1___ENSG00000132005___ENST00000254325___protein_coding___protein_coding	10I	RFX1	ENSG00000132005	FALSE	FALSE	FALSE	FALSE	TRUE	0	0.00745683417659191	0	0	0.0115591596976962
10I_RHOT2___ENSG00000140983___ENST00000562333___protein_coding___lncRNA	10I	RHOT2	ENSG00000140983	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0	0	0
10I_RPS6KA3___ENSG00000177189___ENST00000457145___protein_coding___protein_coding	10I	RPS6KA3	ENSG00000177189	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_SCRIB___ENSG00000180900___ENST00000526832___protein_coding___protein_coding	10I	SCRIB	ENSG00000180900	TRUE	FALSE	TRUE	FALSE	FALSE	0.00327793796277539	0.0447410050595515	0.00628214639750629	0.00481948558892842	0.00866936977327218
10I_SEMA3B___ENSG00000012171___ENST00000618865___protein_coding___protein_coding	10I	SEMA3B	ENSG00000012171	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0	0.00433468488663609
10I_SIK1B___ENSG00000275993___ENST00000613488___protein_coding___protein_coding	10I	SIK1B	ENSG00000275993	TRUE	TRUE	TRUE	FALSE	TRUE	0.0994524240013691	0.0298273367063676	0.0251285855900252	0.00481948558892842	0.0260081093198165
10I_SLC12A9___ENSG00000146828___ENST00000540482___protein_coding___protein_coding	10I	SLC12A9	ENSG00000146828	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_SLC6A8___ENSG00000130821___ENST00000253122___protein_coding___protein_coding	10I	SLC6A8	ENSG00000130821	FALSE	FALSE	FALSE	FALSE	FALSE	0	0.00372841708829596	0	0	0
10I_SLMAP___ENSG00000163681___ENST00000383718___protein_coding___protein_coding	10I	SLMAP	ENSG00000163681	FALSE	FALSE	FALSE	TRUE	FALSE	0	0.00372841708829596	0	0.0337363991224989	0
10I_SMARCD2___ENSG00000108604___ENST00000323347___protein_coding___protein_coding	10I	SMARCD2	ENSG00000108604	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0.00628214639750629	0.0481948558892842	0
10I_SON___ENSG00000159140___ENST00000356577___protein_coding___protein_coding	10I	SON	ENSG00000159140	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00628214639750629	0.00963897117785683	0
10I_SPAG5___ENSG00000076382___ENST00000321765___protein_coding___protein_coding	10I	SPAG5	ENSG00000076382	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00209404879916876	0	0
10I_TBL3___ENSG00000183751___ENST00000568546___protein_coding___protein_coding	10I	TBL3	ENSG00000183751	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_TCEA2___ENSG00000171703___ENST00000361317___protein_coding___protein_coding	10I	TCEA2	ENSG00000171703	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.0433753703003557	0
10I_TCF25___ENSG00000141002___ENST00000263347___protein_coding___protein_coding	10I	TCF25	ENSG00000141002	FALSE	FALSE	FALSE	FALSE	FALSE	0.00198761266519034	0	0.00209404879916876	0	0.00144489496221203
10I_TMEM214___ENSG00000119777___ENST00000238788___protein_coding___protein_coding	10I	TMEM214	ENSG00000119777	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0	0
10I_TNKS___ENSG00000173273___ENST00000310430___protein_coding___protein_coding	10I	TNKS	ENSG00000173273	TRUE	FALSE	FALSE	FALSE	FALSE	0.00655587592555078	0	0.00418809759833753	0	0.0130040546599083
10I_TNPO2___ENSG00000105576___ENST00000450764___protein_coding___protein_coding	10I	TNPO2	ENSG00000105576	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0.00418809759833753	0	0
10I_TONSL___ENSG00000160949___ENST00000409379___protein_coding___protein_coding	10I	TONSL	ENSG00000160949	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0	0.0144584567667852	0
10I_TRIM39-RPP21___ENSG00000248167___ENST00000623385___protein_coding___protein_coding	10I	TRIM39-RPP21	ENSG00000248167	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00418809759833753	0	0
10I_TTC31___ENSG00000115282___ENST00000233623___protein_coding___protein_coding	10I	TTC31	ENSG00000115282	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00418809759833753	0.0240974279446421	0
10I_TTLL12___ENSG00000100304___ENST00000216129___protein_coding___protein_coding	10I	TTLL12	ENSG00000100304	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00209404879916876	0.00481948558892842	0
10I_UBA1___ENSG00000130985___ENST00000377351___protein_coding___protein_coding	10I	UBA1	ENSG00000130985	FALSE	FALSE	TRUE	TRUE	FALSE	0.00163896898138769	0.0149136683531838	0.0146583415941813	0.0240974279446421	0.0173387395465444
10I_UBE2O___ENSG00000175931___ENST00000319380___protein_coding___protein_coding	10I	UBE2O	ENSG00000175931	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0	0	0
10I_UBTF___ENSG00000108312___ENST00000526094___protein_coding___protein_coding	10I	UBTF	ENSG00000108312	FALSE	FALSE	FALSE	FALSE	FALSE	0.00163896898138769	0	0	0	0
