AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3HBF	EIF4G2BF	EWSR1BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SF3A3BF	SF3B4BF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
CSTF2T	0	0	0	0.252615498066302	0	0	0	0	0	0	3.44252893781865	0	0	0	0	0	0	0	0.252615498066302	0	0	0.0410360570312308	0	0	0	0.252615498066302	0.074338555773917	0.074338555773917	0	0	0	0	0	0.0447893996636064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252615498066302	0	0.818494602451761	0	0	0.106937306412451	0	0	0	0	0	0	0	0	0	0.226832020992023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX24	0	0	0	0	0	0	0.0293915734555813	0	0	0	0	18.4309853295703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307478935073379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.247311548428077	0
DDX3X	0	0	0	0	0	0	0	0	0	0	0	0	11.6488729863813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502552384391839	0	0	0	0	0	0	0	0	0	0	0	0.156241316178294	0	0	0	0	0	0.0746227823962559	0	0	0	0	0	0	0	0	0	0.0235878710673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX42	0	0	0	0	0	0	0	0	0.230048095948827	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446836151651055	0	0	0	0	0	0	0	0.29426502311661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170061113866785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208208397347496	0	0	0	0	0	0	0	0	0	0	0	0	0.17188470074745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51589626248848	0.241749194000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558032850067017	0	0	0	0	0	0	0	0	0	0	0	0	0.0133178947806507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600547785025141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165764638780501	1.77787064413736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0363087572254309	0	0	0	0	0.156241316178294	0	0	0	0	0	0	0	0	0	0	0	0	0.0813211085951545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600547785025141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	0	0	0	0	0	0	0.0293915734555813	0	0	0	0	0	0	0	0	0	0	2.54607447880879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101590421179174	0	0	0	0	0.021072202152374	0	0	0	0	0	0	0.148883401181296	0	0	0	0	0	0.0320252526747231	0	0	0	0	0	0	0	0	0	0	0	0	0.168537210809787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGCR8	0	0	0	0.469808701820144	0	0	0	0	0	0	0.436071055287838	0	0	0	0	0	0	0	0.469808701820144	0	0	0.295520932041446	0	0	0	0.469808701820144	0	0	0	0	0	0	0	0.157770674062244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469808701820144	0	0	0	0	0.168537210809787	0	0.0360915401309858	0	0	0	0	0	0	0	0.540663633497576	0.0446836151651055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	0	0	2.65006944741664	0	0	-1.53094681420451	-0.0543733592044019	-0.904954896004158	0	0	0	0	0	0	0	0	0	0	0	29.5678547077805	0	0	-0.48650403152529	0	0	0	0	0	0	0	0	0	0	0	-0.0326186962860328	0	-0.173457948247522	0	0	0	0	0	0	0	-0.126052786064168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.442893848294067	0	-0.674343622929089	0	0	0	0	0	0	0	0	0	-0.331162448713517	-0.240078720961372	0	-0.00855023937758011	0	0	0	0	0	0	0	0	-0.27306723323127	-0.0288188339773857	0	0	0	-0.57361578730127	-0.197822385294762	0	0	0	0	0	0	0	0	-0.332790646133034	0
DKC1	0.298183008253327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16598196619177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0.314508109878799	0	0	0	0	0	0.263246922852877	0	1.12176111774354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0	0	0	0.275903456885534	0	0	0	0.0438391373930255	0	0.315065698463177	0	0
DROSHA	0	0	0	0.178069153691326	0	0	0	0	0	0	0.00515679441817669	0	0	0	0	0	0	0	0.178069153691326	0	0	5.30745493015676	0	0	0	0.178069153691326	0	0	0	0	0	0	0	2.43729270289196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178069153691326	0	0	0	0	0.0257881145858842	0	0.0360915401309858	0	0	0	0	0	0	0	0.152555036022598	0	0	0	0	0	0	0	0	0	0.00110144780158256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFTUD2	0	0	0	0	0	-0.231379738666501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.28990421891729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0274441668123352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127261040256724	0	0	0	0	-0.306001477467407	-0.372550059470532	0	0	0	0	0	0	0	0	-0.0251780267881969	0
EIF3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77787064413736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015834235727892	0
EIF4G2	0	0	0	0	0	0	0	0	0.230048095948827	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0.332331793240892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446836151651055	0	0	0	0	0	0	0	0.29426502311661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EWSR1	0	0	0	0.469808701820144	0	0	0	0	0	0	0.436071055287838	0	0	0	0	0	0	0	0.469808701820144	0	0	0.295520932041446	0	0	0	0.469808701820144	0	0	0	0	0	0	0	0.157770674062244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469808701820144	0	0	0	0	0.168537210809787	0	0.0360915401309858	0	0	0	0	0	0	0	0.540663633497576	0.0446836151651055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM120A	0	0	0	0	0	0	0	0	0	0	0.436071055287838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292620666455562	0.292620666455562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235878710673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	0	0	0	0	0	0.436071055287838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.292620666455562	0.292620666455562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235878710673077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170061113866785	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7513907537233	0	0.169879796384165	0.083574167941793	0	0	0	0	0	0	0	0	0	0.17188470074745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0	0	0.0293915734555813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13316382610916	0	0.083574167941793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294391348373235	0	0	0	0	0	0	0	0	0.015834235727892	0.133653589674599
FXR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208208397347496	0	0.169879796384165	0.083574167941793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169879796384165	4.68262835491285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0611074606386846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197822385294762	0	0	0	0	0	0	0	0	0	0.35987491002588
G3BP1	0	0	0	0	0	0	0.788528700375195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.51991384574044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0663435601614449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.804847367996143	0	0	0	0	0	0	0	0	0.0114390700806222	0
GEMIN5	0	0	0	0.178069153691326	0	0	0	0.152843399818179	0	0	0	0	0.7034252005921	0	0	0	0	0	0.178069153691326	0	0	2.68344682442007	0	0	0	0.178069153691326	0	0	0	0	0	0	0	5.67604089746561	0	0	0	0	0	0	0	0	0	0	0	0.0113021291003598	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178069153691326	0	0	0	0	0.0213752182253914	0	0	0	0	0	0	0	0	0	0.152555036022598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPKOW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49516044643772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133178947806507	0	0	0	0	0	0	0	0	0	0.165160703101169	0	0	0	0	0	0	0.0446836151651055	0	0	0	0	0	0	0	0	0.1555877665895	0.35576156110708	0	0	0	0.0375287344747406	0	0	0	0	0	0	0	0	0	0	0
GRSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59261157429967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRWD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.4625315315551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565637357922981	0	0	0	0	0	0	0	0	0	0	0	0	-0.161878082704217	0	-0.00855023937758011	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0375287344747406	0.483192441415414	0	0	0	0	0	0	0	0	0.0114390700806222	0
GTF2F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235878710673077	0	0	0	0	0.0360915401309858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0775217776521619	0	0	0	0	0	0	0	0	0	0
HLTF	0	0	0	0	0	0	0.512138347914234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.06649571191436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168537210809787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134478637436595	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112207555791295
HNRNPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326186962860328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0446836151651055	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0.0375287344747406	0	0	0	0	0	0	0	0	0	0	0
HNRNPK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165764638780501	0.241749194000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1916105567768	0	0	0	0	0.148883401181296	0	0	0	0	0	0	0	0	0	0	0	0	0.924284009038215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600547785025141	0	0	0.0952553965031272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.170061113866785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15915367879454	0	0	0	0	0	0	0	0	0	0	0	0	1.53886250451063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117719712308388	0	0	0	0	0	0
IGF2BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5793045591545	0.0577012679574057	0.0857224851754842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142723624825538	0.224299867127744	0.222370289426251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0438391373930255	0	0	0	0.223944636247162
KHSRP	0	0	0	0	0	0	0.0293915734555813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577012679574057	9.29911644173983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27306723323127	0	0	0	0	0.117616953588086	0	0	0	0	0	0	0.0438391373930255	0	0	0.015834235727892	0.223944636247162
LARP4	0	0	0	0	0	0	0	0	0	0	0	0	0.150569637955754	0	0	0.773784116736045	0.241749194000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77113923654889	0	0	0	0	0	0.508605880408411	0	0	0	0.094886269774438	0	0	0.0133178947806507	0	0	0.0235878710673077	0	0	0.0213752182253914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.848666790128938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LARP7	0.298183008253327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280817251964748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222370289426251	0	0.986012903940722	0	0	0	0	0	1.18559762534219	0.140211940967614	1.12176111774354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1555877665895	0	0	0	0	0	0	0	0.275903456885534	0	0	0	0.0438391373930255	0	0.315065698463177	0	0
LIN28B	0	0	0	0	0	-0.970429604451564	0	-0.175227171813959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.42247987352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115473779237937	0	0	0	0	0	0	0	0	0	0	-0.0667421590503413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124266439161456	0	0	0	0	0	0	0	0	0	0
LSM11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148883401181296	0	0	3.53791706234803	0	0	0.0320252526747231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
